                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.247,                 2.5652,                 1.2382,                 1.0638,                0.58801,                0.14598,                0.14913,                0.08724,                0.57787,                0.13179,                  0.129,                0.06213,                  1.171,                 2.6652,                0.98803,                  1.054,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.2341,                 2.5704,                 1.2406,                  1.063,                0.62658,                0.14357,                0.14788,                0.08737,                0.58952,                0.13236,                0.12743,                0.06205,                 1.1752,                 2.6786,                0.95632,                 1.0574,               0.008317,               0.008317,               0.008317
                     37,                 1.2379,                 2.5699,                 1.2357,                 1.0626,                0.74159,                0.13349,                0.14801,                0.08971,                0.69478,                0.13677,                0.13317,                0.06631,                   1.16,                 2.6567,                0.96233,                 1.0534,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.2334,                 2.5829,                 1.2335,                 1.0619,                0.65458,                0.13771,                0.14924,                 0.0888,                0.62825,                0.12602,                0.12944,                  0.063,                 1.1505,                 2.6525,                0.94691,                 1.0416,               0.008218,               0.008218,               0.008218
                     39,                 1.2507,                 2.5875,                 1.2451,                 1.0645,                0.50955,                0.16161,                0.15084,                0.08801,                0.68912,                0.12123,                0.12821,                0.06191,                 1.1685,                 2.6878,                0.93006,                 1.0505,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.2163,                 2.5448,                 1.2191,                 1.0541,                0.63933,                0.14496,                0.15496,                0.09279,                0.65459,                0.12639,                0.13419,                0.06814,                 1.1406,                 2.6373,                0.93158,                 1.0424,               0.008119,               0.008119,               0.008119
                     41,                 1.2394,                 2.5804,                 1.2372,                 1.0636,                0.64456,                0.14348,                0.14768,                0.08874,                0.61483,                 0.1287,                0.12981,                0.06318,                 1.1571,                  2.646,                  0.949,                 1.0514,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.2364,                 2.5412,                 1.2343,                 1.0619,                0.57123,                0.15046,                0.14839,                0.09073,                0.53851,                0.13591,                0.12984,                  0.065,                 1.1579,                 2.6465,                0.93998,                 1.0466,                0.00802,                0.00802,                0.00802
                     43,                 1.2308,                 2.5563,                 1.2322,                 1.0585,                0.50969,                0.14759,                0.15025,                0.09004,                0.48718,                0.13172,                0.13123,                 0.0651,                  1.149,                 2.6521,                0.94035,                 1.0447,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.2301,                 2.5621,                 1.2406,                 1.0594,                 0.6258,                0.15036,                0.15156,                0.09043,                0.64786,                0.13891,                0.13244,                0.06549,                 1.1542,                 2.6381,                 0.9474,                 1.0474,               0.007921,               0.007921,               0.007921
                     45,                  1.236,                 2.5614,                 1.2375,                 1.0614,                0.57181,                0.14087,                0.15224,                0.09085,                0.50484,                 0.1312,                0.13112,                0.06482,                 1.1516,                 2.6468,                 0.9446,                 1.0465,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.2271,                 2.5483,                  1.217,                 1.0544,                 0.7537,                0.15199,                0.16037,                0.09596,                 0.7622,                0.12843,                0.13714,                0.06885,                 1.1377,                  2.625,                0.90837,                 1.0435,               0.007822,               0.007822,               0.007822
                     47,                 1.2172,                 2.5223,                 1.2305,                 1.0557,                0.69715,                0.14849,                0.15603,                0.09461,                0.59034,                0.13729,                0.13625,                0.06752,                 1.1332,                 2.6165,                0.90362,                 1.0428,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.2251,                  2.536,                 1.2249,                 1.0543,                0.64482,                0.14858,                0.15229,                 0.0918,                 0.5494,                0.13809,                0.12985,                 0.0649,                 1.1287,                 2.6366,                0.92403,                 1.0361,               0.007723,               0.007723,               0.007723
                     49,                 1.2283,                  2.548,                 1.2278,                 1.0553,                0.50961,                0.14951,                0.15506,                0.09371,                0.49613,                0.14355,                0.13831,                0.06649,                 1.1316,                 2.6265,                0.93944,                 1.0385,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.2193,                  2.522,                 1.2114,                 1.0528,                0.70476,                0.14336,                0.15399,                0.09417,                 0.6577,                0.13144,                0.13507,                0.06717,                 1.1182,                 2.6251,                0.92424,                 1.0358,               0.007624,               0.007624,               0.007624
                     51,                 1.2118,                  2.536,                  1.222,                 1.0541,                0.71964,                 0.1482,                0.15243,                0.09086,                0.66352,                0.13335,                0.13277,                0.06527,                 1.1321,                 2.6304,                 0.9142,                   1.04,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.2189,                 2.5239,                 1.2277,                 1.0548,                 0.7918,                0.12971,                0.15421,                0.09365,                0.78009,                0.11888,                0.13465,                0.06637,                 1.1263,                 2.6092,                0.93763,                 1.0359,               0.007525,               0.007525,               0.007525
                     53,                 1.2162,                 2.5268,                 1.2193,                 1.0507,                0.66744,                0.15739,                0.15872,                0.09655,                 0.5603,                0.14958,                0.13991,                0.06919,                 1.1195,                 2.6016,                0.92581,                 1.0333,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.2162,                  2.519,                 1.2318,                 1.0545,                0.72901,                0.15342,                0.15607,                0.09416,                0.65932,                0.13711,                0.13532,                0.06839,                 1.1159,                 2.6038,                0.92328,                 1.0318,               0.007426,               0.007426,               0.007426
                     55,                 1.2117,                 2.5254,                 1.2081,                 1.0514,                0.60341,                0.15723,                 0.1608,                 0.0957,                0.57786,                0.14325,                0.13806,                0.06921,                  1.115,                 2.5971,                 0.9142,                 1.0281,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.2052,                 2.4985,                 1.2235,                 1.0466,                0.76307,                0.15209,                0.16004,                0.09647,                 0.6649,                0.13187,                0.13963,                0.07014,                 1.1167,                 2.5908,                0.91277,                   1.03,               0.007327,               0.007327,               0.007327
                     57,                 1.2137,                 2.5074,                 1.2103,                 1.0514,                0.72703,                0.13841,                0.15065,                0.09158,                0.72427,                0.12606,                0.13431,                0.06702,                  1.115,                 2.5851,                 0.9111,                 1.0313,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.2073,                 2.4872,                 1.2073,                 1.0435,                0.67869,                0.14734,                0.16215,                0.09882,                0.55251,                0.14023,                0.14045,                 0.0708,                 1.1078,                 2.5916,                0.90352,                 1.0303,               0.007228,               0.007228,               0.007228
                     59,                 1.2037,                  2.499,                  1.196,                 1.0461,                0.63329,                0.16333,                0.16471,                0.09876,                0.54638,                0.14839,                0.14134,                0.06859,                 1.1121,                 2.5723,                 0.8989,                 1.0295,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.1994,                 2.5105,                 1.1971,                 1.0457,                0.64561,                0.15978,                0.16772,                0.10131,                0.63952,                0.13464,                0.14303,                0.07265,                 1.1092,                 2.5752,                0.90521,                 1.0309,               0.007129,               0.007129,               0.007129
                     61,                 1.2087,                 2.5173,                 1.2151,                 1.0514,                0.70274,                0.15541,                0.16897,                0.10006,                0.62559,                0.13963,                0.14458,                0.07131,                  1.108,                 2.5877,                0.91766,                 1.0284,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.1949,                 2.5069,                 1.2035,                 1.0446,                 0.7325,                0.15272,                0.15959,                0.09597,                0.66732,                0.13635,                0.13806,                 0.0692,                 1.0998,                 2.5678,                0.90024,                  1.023,                0.00703,                0.00703,                0.00703
                     63,                 1.2003,                 2.5078,                 1.2145,                 1.0446,                0.73072,                0.15006,                0.16333,                0.09985,                0.69015,                0.13729,                0.14117,                0.07192,                 1.1023,                 2.5746,                0.89618,                 1.0234,              0.0069805,              0.0069805,              0.0069805
                     64,                  1.198,                 2.5001,                 1.2086,                 1.0446,                0.54728,                0.16763,                 0.1618,                0.09823,                0.50726,                0.14485,                0.14062,                 0.0713,                 1.1018,                 2.5656,                0.89709,                 1.0274,               0.006931,               0.006931,               0.006931
                     65,                 1.1976,                 2.5084,                 1.1898,                 1.0437,                0.47694,                0.16693,                0.16449,                0.09949,                0.49903,                0.15297,                0.14619,                0.07227,                 1.0941,                  2.559,                0.88245,                 1.0182,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.1985,                 2.5099,                 1.1978,                  1.046,                0.57909,                0.15394,                0.16182,                0.09921,                0.56162,                0.14167,                0.14201,                0.07214,                 1.0996,                 2.5661,                0.89285,                 1.0235,               0.006832,               0.006832,               0.006832
                     67,                  1.191,                 2.4698,                 1.1792,                  1.038,                0.50684,                0.16674,                0.16384,                0.09859,                0.47752,                 0.1515,                0.14167,                0.07122,                 1.0953,                 2.5723,                0.87443,                 1.0188,              0.0067825,              0.0067825,              0.0067825
