                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1871,                 2.5116,                 1.1863,                  1.056,                0.66349,                0.14435,                0.15635,                0.09152,                0.65092,                0.12943,                 0.1349,                0.06536,                  1.123,                 2.6147,                0.89757,                 1.0495,               0.008416,               0.008416,               0.008416
                     35,                 1.1885,                 2.4735,                 1.1699,                 1.0535,                0.63214,                0.15234,                0.16149,                0.09654,                0.60099,                0.14301,                 0.1366,                 0.0677,                 1.1251,                 2.5846,                 0.9194,                 1.0495,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.1754,                 2.4605,                 1.1746,                 1.0515,                0.57062,                0.16589,                0.15274,                0.09133,                 0.5527,                0.14711,                0.13204,                0.06243,                 1.1077,                 2.5886,                0.92354,                 1.0542,               0.008317,               0.008317,               0.008317
                     37,                 1.1877,                 2.4804,                 1.1898,                 1.0563,                0.50328,                0.15557,                0.15822,                0.09565,                0.47931,                0.13904,                0.13595,                0.06737,                 1.1184,                 2.5849,                0.92745,                 1.0436,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.1722,                 2.4789,                 1.1618,                  1.048,                0.66195,                0.16926,                0.16215,                0.10039,                0.64656,                0.15362,                0.14298,                0.07176,                 1.1019,                 2.5615,                0.90065,                 1.0439,               0.008218,               0.008218,               0.008218
                     39,                 1.1748,                 2.4808,                 1.1626,                 1.0493,                0.47245,                0.16873,                0.16009,                0.09643,                0.38979,                0.15126,                0.14209,                0.06905,                 1.1065,                 2.5625,                0.89239,                 1.0479,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.1758,                 2.4534,                 1.1719,                 1.0472,                0.53242,                0.15358,                0.15702,                0.09548,                0.61973,                0.13767,                0.14064,                 0.0712,                 1.0921,                  2.565,                0.89598,                 1.0446,               0.008119,               0.008119,               0.008119
                     41,                 1.1729,                  2.464,                 1.1732,                 1.0476,                0.53373,                0.16243,                0.16453,                 0.0984,                0.50781,                 0.1424,                0.13939,                0.06909,                 1.0997,                 2.5697,                0.88623,                 1.0441,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.1658,                 2.4618,                 1.1673,                 1.0488,                0.52809,                0.16943,                0.16296,                0.09709,                0.50774,                0.15427,                 0.1377,                0.06659,                 1.0983,                 2.5896,                0.87193,                 1.0393,                0.00802,                0.00802,                0.00802
                     43,                 1.1702,                 2.4504,                 1.1537,                 1.0468,                0.71863,                0.15096,                0.16565,                0.09917,                0.70541,                0.14017,                0.14399,                0.07012,                 1.0821,                 2.5632,                0.87758,                 1.0359,              0.0079705,              0.0079705,              0.0079705
